packages_with_rust_version=420
autocfg 1.5.1 rust-version=1.0
signal-hook-registry 1.4.8 rust-version=1.26
rustversion 1.0.23 rust-version=1.31
syn 1.0.109 rust-version=1.31
cfg-if 1.0.4 rust-version=1.32
rustc_version 0.4.1 rust-version=1.32
portable-atomic 1.15.0 rust-version=1.34
typeid 1.0.3 rust-version=1.34
atomic-waker 1.1.2 rust-version=1.36
futures-core 0.3.34 rust-version=1.36
futures-io 0.3.34 rust-version=1.36
futures-sink 0.3.34 rust-version=1.36
piper 0.2.5 rust-version=1.36
portable-atomic-util 0.2.8 rust-version=1.36
pin-project-lite 0.2.17 rust-version=1.37
libloading 0.7.4 rust-version=1.40.0
typenum 1.20.1 rust-version=1.41.0
shlex 2.0.1 rust-version=1.46.0
windows-sys 0.45.0 rust-version=1.48
base64 0.21.7 rust-version=1.48.0
base64 0.22.1 rust-version=1.48.0
form_urlencoded 1.2.2 rust-version=1.51
parking 2.2.1 rust-version=1.51
percent-encoding 2.3.2 rust-version=1.51
slab 0.4.12 rust-version=1.51
cookie 0.18.2 rust-version=1.56
enumflags2 0.7.12 rust-version=1.56
enumflags2_derive 0.7.12 rust-version=1.56
errno 0.3.14 rust-version=1.56
heck 0.5.0 rust-version=1.56
httpdate 1.0.3 rust-version=1.56
indexmap 1.9.3 rust-version=1.56
multiversion_no_op 1.0.0 rust-version=1.56
serde 1.0.229 rust-version=1.56
serde_core 1.0.229 rust-version=1.56
serde_derive_internals 0.29.1 rust-version=1.56
serialize-to-javascript 0.1.2 rust-version=1.56
serialize-to-javascript-impl 0.1.2 rust-version=1.56
strsim 0.11.1 rust-version=1.56
windows_aarch64_gnullvm 0.52.6 rust-version=1.56
windows_aarch64_msvc 0.52.6 rust-version=1.56
windows_i686_gnu 0.52.6 rust-version=1.56
windows_i686_gnullvm 0.52.6 rust-version=1.56
windows_i686_msvc 0.52.6 rust-version=1.56
windows_x86_64_gnu 0.52.6 rust-version=1.56
windows_x86_64_gnullvm 0.52.6 rust-version=1.56
windows_x86_64_msvc 0.52.6 rust-version=1.56
windows-sys 0.52.0 rust-version=1.56
windows-targets 0.52.6 rust-version=1.56
bitflags 2.13.2 rust-version=1.56.0
hashbrown 0.12.3 rust-version=1.56.0
version-compare 0.2.1 rust-version=1.56.0
zerocopy 0.8.57 rust-version=1.56.0
async-task 4.7.1 rust-version=1.57
bytes 1.12.1 rust-version=1.57
idna 1.1.0 rust-version=1.57
png 0.17.16 rust-version=1.57
http 1.5.0 rust-version=1.57.0
num-conv 0.2.2 rust-version=1.57.0
brotli 8.0.4 rust-version=1.59.0
equivalent 1.0.2 rust-version=1.6
async-broadcast 0.7.2 rust-version=1.60
async-channel 2.5.0 rust-version=1.60
byteorder 1.5.0 rust-version=1.60
concurrent-queue 2.5.0 rust-version=1.60
crossbeam-channel 0.5.17 rust-version=1.60
crossbeam-utils 0.8.23 rust-version=1.60
dyn-clone 1.0.20 rust-version=1.60
endi 1.1.1 rust-version=1.60
event-listener 5.4.2 rust-version=1.60
event-listener-strategy 0.5.4 rust-version=1.60
foldhash 0.2.0 rust-version=1.60
